,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11
10,10,10,143,529,1172,2264,4814,5365,5812,9277,28995,29973,26701,11237,9056,10802,5605,1326,4055,27035,51514,28662,26580
20,12,14,699,2158,2629,4969,9803,7201,7562,13342,43085,43877,31194,10999,10425,10511,5228,1332,4186,19212,29511,18292,18893
30,23,25,811,2795,2683,3644,6540,4064,3755,10776,36645,39941,26379,9649,8672,9433,4539,1324,3618,17585,31103,19729,20689
40,25,40,919,2794,2395,2747,5519,3970,3355,10598,36326,38273,25070,9360,7464,7555,3828,1064,3055,14312,25215,16700,17246
50,27,39,1210,2823,2371,2563,5730,4205,3784,12273,38707,39784,25974,9123,7519,6697,3419,997,2563,12616,21572,15626,16115
60,21,37,1053,2286,1785,1787,4098,3155,3051,9481,30579,31785,20149,6975,4684,4110,2209,742,1915,9377,16712,12463,12564
70,12,19,587,1563,1224,1119,2318,2098,2086,5869,17657,18797,11375,3564,1791,1773,1043,388,1075,5190,9365,7160,6511
80,5,3,376,2012,1667,919,1664,1713,1686,4148,12944,14820,7512,1785,789,931,633,225,489,2724,5000,4281,3753
