,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11
10,0,0,12,22,62,58,87,61,74,110,225,233,215,91,106,132,92,35,65,214,469,273,191
20,0,1,49,91,129,156,186,116,95,154,374,346,268,116,148,216,143,61,85,300,351,256,182
30,0,3,117,140,174,168,249,133,114,234,506,449,288,155,228,292,158,71,147,433,675,408,311
40,0,0,187,255,240,186,313,217,144,380,799,710,476,278,286,368,251,81,194,562,892,560,394
50,0,3,343,509,378,353,543,310,290,689,1502,1378,853,391,495,638,373,140,254,859,1275,983,696
60,1,7,446,627,437,368,716,472,432,1066,2453,2333,1431,664,548,681,413,137,292,995,1643,1159,944
70,1,2,339,564,407,383,638,535,560,1271,2919,2724,1631,632,433,435,313,125,263,909,1364,1088,906
80,0,0,249,586,483,278,542,485,445,1056,2645,2702,1496,453,253,330,217,82,148,654,1086,947,719
